NE_OBJ_ID,NE_NAME,DEV_TYPE_NAME,PRODUCER_NAME,PRODUCER_ID,WORK_YEAR,DEV_TYPE,ALARM_NUM,ALARM_TIME
E029CA85-2D73-4C56-BA8D-9BE00C4C854E-21427,安义县供电公司1660SM_23,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,7.0,11002.0,"[1, 0, 1, 0, 1, 0, 1, 4, 0, 2, 2, 3, 0, 0, 0]","[3988933, 0, 5162763, 0, 2327316, 0, 618898, 1538975, 0, 539216, 317490, 7556047, 0, 0, 0]"
904BBA23-E97A-42EE-99E6-BDD96B363600-08260,前途变Metro2050,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,,,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0]","[76375, 0, 9508566, 0, 0, 0, 0, 489154, 0, 565655, 0, 901437, 0, 0, 0]"
E029CA85-2D73-4C56-BA8D-9BE00C4C854E-14758,高新变1660SM_107,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,8.0,11002.0,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 18954, 0, 240973, 2676, 0, 2781202, 0, 0, 0]"
8AC95230-46C6-4CE6-9972-0F2EFB929487-06111,新楼业务2-1660SM,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,4.0,11002.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[27284746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6644313, 0, 786025, 0]"
E029CA85-2D73-4C56-BA8D-9BE00C4C854E-30226,盘龙山变1660SM_07,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,9.0,11002.0,"[0, 0, 2, 2, 0, 0, 1, 1, 1, 3, 1, 0, 1, 2, 0]","[0, 0, 79030, 22961, 0, 0, 257295, 219600, 1444234, 1056894, 171309, 0, 281599, 185312, 0]"
E029CA85-2D73-4C56-BA8D-9BE00C4C854E-31158,西郊变1660SM_06,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,11.0,11002.0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0]","[0, 0, 0, 1478758, 0, 0, 0, 0, 447643, 594267, 13, 26594, 281600, 127201, 0]"
8AC95230-46C6-4CE6-9972-0F2EFB929487-06110,新楼业务1-1660SM,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,4.0,11002.0,"[0, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 95368, 5859953, 0, 224296, 1734639, 0, 1415095, 6786258, 0, 0, 6631866, 0, 742104, 0]"
E029CA85-2D73-4C56-BA8D-9BE00C4C854E-35363,塘山开关站1660SM_13,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,9.0,11002.0,"[1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[102176, 30, 1183239, 1040452, 17435958, 0, 0, 0, 0, 0, 0, 6633125, 0, 746570, 0]"
BFCAB253-F236-4F42-BBD5-D81C72F97D44-00644,马回岭变1660SM,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,5.0,11002.0,"[1, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0, 1, 2, 2, 0]","[2155998, 8458091, 0, 0, 0, 299984, 0, 840465, 177697, 0, 0, 311789, 493799, 630254, 0]"
BF40D1B7-4CF5-40EC-ADC5-406F1AFBDBDA-00098,坪里变 OSN 2000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,5.0,10013.0,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0]","[0, 0, 0, 22681, 0, 0, 0, 13506, 32, 68, 0, 0, 0, 436307, 0]"
BF40D1B7-4CF5-40EC-ADC5-406F1AFBDBDA-00099,湖上变OSN 2000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,5.0,10013.0,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 2, 0]","[0, 0, 0, 69, 0, 0, 0, 79, 101, 6, 0, 0, 0, 436302, 0]"
59E5119F-76E5-48F8-8017-D2406466B47D-28159,九江地调调度数据1660SM,通信数据网设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,6.0,11002.0,"[1, 1, 1, 2, 2, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0]","[2230670, 445201, 604079, 2691201, 8372247, 0, 0, 0, 3083215, 2224013, 0, 4717682, 0, 1650544, 0]"
BF40D1B7-4CF5-40EC-ADC5-406F1AFBDBDA-00115,路口变 OSN 2000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,5.0,10013.0,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 79, 0, 6677, 502986, 0, 30, 0, 0, 0, 0, 436310, 0]"
BF40D1B7-4CF5-40EC-ADC5-406F1AFBDBDA-00116,坊楼变 OSN 2000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,5.0,10013.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 86168, 11378, 70068, 31, 846, 0, 1038374, 0, 236034, 0]"
8CB66B35-B909-4297-BDFE-04659A42CC15-00281,柘林电厂Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,8.0,10015.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[16459069, 0, 0, 0, 0, 0, 0, 9565724, 0, 0, 0, 3642144, 0, 0, 0]"
DCC58927-7D2A-42D8-9B8C-22CBED38199F-02914,红都变 OSN 7500-01,,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,3.0,10010.0,"[0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 221349, 0, 1248479, 1437906, 1591416, 579266, 0, 83139, 0, 0, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-41345,鹰潭地调Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[1, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 2, 1, 3, 0]","[444223, 0, 17999, 290028, 1217960, 2070726, 0, 285187, 0, 18436, 0, 787827, 676424, 59968, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-35909,挡岭变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 4989494, 0, 0, 28053, 15005, 18421, 0, 4668, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-47604,赣东北地调Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 2303184, 0, 31495, 0, 18421, 0, 4981, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-25589,蛇龙变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 2070727, 0, 28113, 904321, 803619, 0, 28399, 0, 0, 2608]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-28233,严坞变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 2070727, 0, 28141, 15002, 18435, 0, 0, 676424, 2004, 0]"
