OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW,NAME,FIBER_TYPE,LINE_NUMBER_USED
003A3116-05FB-470B-95A4-675FF2DB62A6-01028,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00531,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00511,6,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV城中变～220kV吉安变)24芯OPGW光缆段01,1,14
00595994-9D4E-40B5-853B-DAA4FE8BFC93-01280,10102,57CFCC1D-1374-4566-B9D3-0E620DAFD08F-33979,10102,57CFCC1D-1374-4566-B9D3-0E620DAFD08F-33979,0,4,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,"[0, 0, 5, 102, 4, 3, 0, 6, 126, 637, 5, 0, 0, 0, 0, 0]","[0, 0, 820467, 3433758311, 37143474178, 12443967000, 0, 877666770, 10229526, 42639956817, 639267136, 0, 0, 0, 0, 0]","[0, 0, 820467, 2592000, 2678400, 2592000, 2678400, 2678400, 2592000, 2678400, 2592000, 2678400, 2678400, 2419200, 2678400, 97156783738]",(H02-32楼传输机房～H02-32楼传输机房)4芯跳纤光缆段,5,4
00595994-9D4E-40B5-853B-DAA4FE8BFC93-01716,10101,1FF9E07B-2B4B-434D-91E0-5EF3DEE3DC75-05736,10101,BE044FF9-5A87-489E-85FA-55487410153F-79521,13,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV上欧变～35kV罗江变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-02122,10101,1FC8E205-9134-4395-AC7B-E75067DEBC0C-03695,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-01274,4,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV南安变～110kV大余牵引站)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-03124,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03516,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-02270,15,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(110kV韩坊变～35kV王母渡变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-04421,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03513,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-03521,0,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00290,,,,(35kV瑶下变～10kV竹山开关站)24芯普通光缆光缆段01,3,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-04986,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00693,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-04481,44,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV五光变～110kV石海变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-05558,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-04481,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03513,16,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV石海变～35kV瑶下变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-06265,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-04481,10101,5D028DFF-00AD-440E-AFD3-76DAC3515EAD-00226,23,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV石海变～35kV上江变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-06504,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-89206,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-06450,15,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV马洪变～220kV狮山变)24芯OPGW光缆段01,1,12
00595994-9D4E-40B5-853B-DAA4FE8BFC93-06663,10101,88D9D2DA-1AF7-4B20-A228-1D008EDC9FAD-44788,10101,203E0006-FA75-4F96-935F-8B2E53CF917D-00010,23,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(电厂峡江水电厂～220kV众村变)24芯OPGW光缆段01,1,8
00595994-9D4E-40B5-853B-DAA4FE8BFC93-07820,10101,CD75A163-7861-4820-99A2-12846B96CA95-35762,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-07584,22,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV西江变～35kV禾坑口变)24芯OPGW光缆段01,1,4
00595994-9D4E-40B5-853B-DAA4FE8BFC93-07946,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03510,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-07014,8,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(35kV南迳变～35kV中寨变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-07998,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33787,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03510,0,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(全南县调～35kV南迳变)24芯普通光缆光缆段01,3,4
00595994-9D4E-40B5-853B-DAA4FE8BFC93-09385,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00741,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00725,8,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV档下变～220kV珠珊变)24芯普通光缆光缆段01,3,4
00595994-9D4E-40B5-853B-DAA4FE8BFC93-11141,10101,00595994-9D4E-40B5-853B-DAA4FE8BFC93-10919,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33786,3,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV充站变～110kV水碓变)24芯OPGW光缆段01,1,2
00595994-9D4E-40B5-853B-DAA4FE8BFC93-11368,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00640,10101,5D656281-18B6-4264-B686-A22C5B4B5C0A-12926,25,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV关下变～220kV萍乡北电铁站)24芯OPGW光缆段01,1,24
00595994-9D4E-40B5-853B-DAA4FE8BFC93-13703,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00778,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00399,16,36,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(500kV梦山变～220kV桃苑变)36芯OPGW光缆段02,1,12
00595994-9D4E-40B5-853B-DAA4FE8BFC93-14449,10101,1FC8E205-9134-4395-AC7B-E75067DEBC0C-03695,10101,CD75A163-7861-4820-99A2-12846B96CA95-35763,6,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV南安变～110kV梅关变)24芯OPGW光缆段01,1,4
00595994-9D4E-40B5-853B-DAA4FE8BFC93-14569,10101,11BAC0EE-28B4-44E5-8DFD-207A8C95C4F1-03163,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00506,1,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV上田变～220kV澄江变)24芯OPGW光缆段01,1,0
00595994-9D4E-40B5-853B-DAA4FE8BFC93-15266,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00508,10101,1FF9E07B-2B4B-434D-91E0-5EF3DEE3DC75-01111,25,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(220kV高坪变～220kV南岭变)24芯OPGW光缆段01,1,0
00595994-9D4E-40B5-853B-DAA4FE8BFC93-15579,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00437,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00469,1,48,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00292,,,,(110kV一交变～江西省电力公司)48芯普通光缆光缆段,3,48
00595994-9D4E-40B5-853B-DAA4FE8BFC93-15706,10101,1FC8E205-9134-4395-AC7B-E75067DEBC0C-03695,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00079,23,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(220kV南安变～110kV池江变)24芯OPGW光缆段01,1,2
